Second,Latency
3,0.0065241958945989
4,0.002146858139606
5,0.0023773029101844
6,0.002007924142431
7,0.0019139255193923
8,0.0013429223274698
9,0.0011628043050643
10,0.0009117702861408
11,0.0008036041881051
12,0.0006997733305172
13,0.0006680691665966
14,0.0005246230534144
15,0.0004688980455082
16,0.0003599731959281
17,0.0003732920049107
18,0.0002999568058002
19,0.0002722619562355
20,0.0002737951959508
21,0.0002537628653829
22,0.0002845273679588
23,0.0002742929160103
24,0.0002784566913816
25,0.00027366287737
26,0.000261742127569
27,0.000270931626919
28,0.0002735052145384
29,0.0002609447358447
30,0.0002695222991406
31,0.0002600910824371
32,0.0002577552869819
33,0.0002756010823779
34,0.0002540297787304
35,0.0002784701645491
36,0.0002814441952925
37,0.0002727706629775
38,0.0002730548610676
39,0.0002689558166405
40,0.0002797737901181
41,0.0002550339863134
42,0.0002781678121754
43,0.0002620969821938
44,0.0002851165850341
45,0.0002675171573786
46,0.0002725869623292
47,0.0002719146112052
48,0.0002757735643665
49,0.000277029872107
50,0.0002779100892539
51,0.0002616079525621
52,0.0002753763858761
53,0.0002731476106354
54,0.0002628508695518
55,0.0002641767956489
56,0.0002805523844255
57,0.0002697887880941
58,0.0002762794231037
59,0.0002592444698314
60,0.0002616791278045
61,0.0002680402174172
62,0.0002523709864941
63,0.0002732628284
64,0.0002599320566143
65,0.0002862057234974
66,0.0002643670881826
67,0.0002771061920022
68,0.0002870591874097
69,0.0002738394519014
70,0.000287953609695
71,0.0002617692847369
72,0.0002676496208034
73,0.0002620244660042
74,0.0002664621158312
75,0.0002591613046361
76,0.0002641623555603
77,0.0002597090097956
78,0.0002705593161892
79,0.000258881358777
80,0.0002686969011869
81,0.0002690506469455
82,0.0002532619629022
83,0.000273264544162
84,0.000267889675678
85,0.0002676485430396
86,0.0002701782161574
87,0.0002780017319259
88,0.0002704946903752
89,0.0002667262817653
90,0.0002574135145289
91,0.0002805523547167
92,0.0002721502967209
93,0.0002693678776552
94,0.0002633306321619
95,0.0002786492447036
96,0.0002554658775309
97,0.0002824288376875
98,0.0002641131099968
99,0.0002856777503144
100,0.0002519755255175
101,0.0002740088063342
102,0.0002690686904738
103,0.0002849295718368
104,0.0002572588618735
105,0.0002684107161177
106,0.0002670913926741
107,0.0002802409708299
108,0.0002821789196982
109,0.0002693298565145
