Second,Latency
4,0.0031183172155309
5,0.0025027666858692
6,0.0014389286568765
7,0.0007658242430754
8,0.0003834476023969
9,0.0002228967625717
10,0.0001615606918845
11,0.0001406134626961
12,0.0001540714903625
13,0.0001319393450464
14,0.000135277972555
15,0.0001415384401431
16,0.000176208471161
17,0.0003102746062773
18,0.0002546256447868
19,0.0002754254917955
20,0.0002587912981383
21,0.0002528103082776
22,0.0002002614765918
23,0.0002236404003353
24,0.0002323320028506
25,0.0002347266132832
26,0.0002406212226274
27,0.0001874879361635
28,0.0002553271053089
29,0.0002452299532845
30,0.0002308241511438
31,0.0002612575036915
32,0.0002400386233289
33,0.0001931555266537
34,0.0002241224920662
35,0.0002378811866889
36,0.0002484873478119
37,0.0002573993264296
38,0.0001900489633467
39,0.0002260624064291
40,0.0002532026446457
41,0.0002667571682762
42,0.000266871426626
43,0.0002529114173634
44,0.000258371526724
45,0.0013658734392528
46,0.0008239395478192
47,0.0005388445281152
48,0.0005018770003402
49,0.0005396625813824
50,0.000390704740152
51,0.0003714792131927
52,0.0003537368980095
53,0.0003472233282356
54,0.000218908467614
55,0.0001910947127255
56,0.000250231524484
57,0.0003053823085162
58,0.0002956778053345
59,0.0003306087827808
60,0.0002400518952368
61,0.0002709425452474
62,0.0003391066458625
63,0.0003740857418318
64,0.0004183450336232
65,0.0003453963931021
66,0.0003365070330173
67,0.0003695600878693
68,0.0004021862025365
69,0.0002876556469524
70,0.0003322438581861
71,0.0002539512033298
72,0.0002470490229557
73,0.0002242894144833
74,0.0002662181219311
75,0.0002425201640133
76,0.0002471563281206
77,0.0002350668640245
78,0.000215832110593
79,0.000207497218795
80,0.0002614193301908
81,0.0002438712149238
82,0.0002642345631592
83,0.0003871350282809
84,0.0003645734587795
85,0.0004053181581536
86,0.0004277375949326
87,0.0002940378623737
88,0.000273485939758
89,0.0002852818363872
90,0.0002235018990645
91,0.0002237775328457
92,0.0002178017749536
93,0.0002244359864963
94,0.0002472850556453
95,0.0002801629306229
96,0.0003544048120895
97,0.0005593651630839
98,0.0006440699532696
99,0.0003319467132415
100,0.000387931762731
101,0.0003635480749963
102,0.0004527006550288
103,0.0005083995314348
104,0.0003317127025277
105,0.0003003429526402
106,0.0003060566319278
107,0.0002687750514536
108,0.000256138075082
109,0.0002138010558591
